"id","group","expLabels","condition","order","set","gender","age","race","engNative","ole","parentEd","trial_type","trial_index","image1","image2","sound1","sound2","sound","correct","selected_image","response_location","accuracy","firstPres","secondPres","thirdPres"
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",2,"picture1.jpg","picture8.jpg",NA,NA,"word1.aiff","picture1.jpg","picture8.jpg","right",0,1,6,10
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",3,"picture5.jpg","picture4.jpg",NA,NA,"word4.aiff","picture4.jpg","picture5.jpg","left",0,4,8,12
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",4,"picture6.jpg","picture2.jpg",NA,NA,"word6.aiff","picture6.jpg","picture2.jpg","right",0,1,7,9
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",5,"picture7.jpg","picture2.jpg",NA,NA,"word2.aiff","picture2.jpg","picture7.jpg","left",0,2,5,9
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",6,"picture5.jpg","picture1.jpg",NA,NA,"word5.aiff","picture5.jpg","picture5.jpg","left",1,2,8,10
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",7,"picture6.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture6.jpg","left",0,3,7,11
"p604","kids","Exp1","Unstructured",1,1,"M",6.410958904,"Hispanic or Latino",NA,"yes","bachelors","test",8,"picture3.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,12
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",1,"picture7.jpg","picture2.jpg",NA,NA,"word2.aiff","picture2.jpg","picture2.jpg","right",1,2,5,9
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",2,"picture6.jpg","picture3.jpg",NA,NA,"word3.aiff","picture3.jpg","picture6.jpg","left",0,3,7,11
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",3,"picture3.jpg","picture7.jpg",NA,NA,"word7.aiff","picture7.jpg","picture7.jpg","right",1,3,5,12
"p605","kids","Exp1","Unstructured",1,2,"M",5.260273973,"White",NA,"no","somecollege","test",4,"picture6.jpg","picture2.jpg",NA,NA,"word6.aiff","picture6.jpg","picture6.jpg","left",1,1,7,9
